Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target
L,301.4,310.8,1925,23.9,124,0
L,300.2,310.5,1366,48.2,101,0
M,296.8,308.4,1706,30.1,15,0
L,297.4,308.3,1431,44.8,168,0
L,300.5,311.3,1498,39.4,178,0
L,300.2,311.9,1466,42.3,174,0
L,297.2,308.4,1513,42.7,212,0
M,301.9,309.4,1493,38.8,164,0
M,301.5,310.8,1385,52.5,93,0
L,297.8,309.0,1431,37.3,96,0
M,298.7,307.9,1357,47.7,178,0
M,297.2,309.0,1488,52.2,149,0
M,297.3,308.8,1666,29.2,132,0
M,300.5,309.6,1424,50.4,162,0
M,297.5,308.1,1366,56.7,66,0
M,298.2,309.5,1414,56.4,76,0
M,296.6,308.1,1332,60.7,209,1
L,298.8,310.1,1495,43.2,187,0
L,296.4,306.9,1431,44.9,44,0
M,299.3,309.0,1593,38.9,75,0
L,296.6,307.6,2731,8.8,16,1
L,302.5,311.0,1214,60.7,170,1
L,302.4,310.8,1299,50.3,153,1
M,300.0,308.9,2228,16.2,58,0
M,297.9,308.6,1385,44.1,140,0
H,301.6,311.0,1423,50.5,195,0
M,297.6,308.3,1528,45.1,54,0
M,298.2,307.5,1771,30.4,174,0
M,298.1,308.1,1605,34.7,108,0
L,304.3,313.0,1327,53.5,201,0
L,300.4,308.6,1394,51.3,232,1
M,302.6,311.6,1486,43.0,214,1
L,298.8,309.3,1487,43.5,156,0
L,296.4,307.3,1470,49.2,10,0
L,298.6,309.5,1649,31.1,181,0
L,300.9,310.3,1609,31.4,88,0
L,302.9,312.1,1670,30.5,154,0
L,298.5,308.6,1431,46.6,196,0
L,301.1,310.5,1380,43.9,97,0
L,301.1,311.5,1496,35.9,185,0
M,299.6,310.1,1611,42.4,106,0
L,299.1,308.2,1406,39.8,58,0
L,299.6,309.3,1497,38.6,124,0
H,303.1,312.7,1397,40.2,154,0
L,303.6,313.6,1436,47.8,13,0
L,299.4,308.8,1418,40.5,59,0
L,303.6,312.7,1253,61.9,99,0
H,301.2,312.0,1449,42.5,213,0
L,300.2,309.6,1512,33.7,120,0
L,301.2,310.5,1771,23.5,111,0
L,299.2,310.9,1339,48.3,75,0
L,297.8,308.3,1669,34.0,74,0
L,298.9,310.3,1416,45.5,172,0
L,298.6,307.9,1465,41.0,161,0
L,302.1,310.7,1411,38.0,75,0
L,297.5,309.0,1381,40.3,109,0
L,298.0,310.2,1691,28.4,134,0
M,300.5,310.3,1714,30.4,42,0
L,297.0,309.0,1590,31.7,188,0
H,300.5,312.4,1405,43.3,213,0
M,302.7,311.5,1998,19.0,171,0
M,300.7,310.0,1571,33.4,140,0
L,298.3,308.8,1480,40.4,168,0
H,297.0,308.4,1851,22.1,93,0
L,299.5,308.4,1899,22.3,79,0
H,298.5,309.4,1723,30.3,76,0
L,299.1,309.9,1483,41.3,54,0
L,297.0,307.6,1716,24.1,150,0
L,300.7,310.4,1632,39.6,223,1
M,301.6,310.8,1642,35.0,97,0
M,299.2,310.3,1333,51.5,34,0
L,300.9,311.6,1568,30.4,146,0
L,301.7,310.1,1228,68.9,134,1
L,301.1,312.1,1478,38.1,31,0
L,301.2,310.3,1420,50.6,131,0
M,302.1,310.1,1759,23.8,195,0
L,297.5,307.8,1773,25.6,84,0
M,297.9,307.4,1354,50.9,181,0
H,303.7,312.5,1522,47.4,79,0
L,304.6,313.1,1794,24.6,172,0
M,298.6,308.3,1441,44.8,146,0
M,298.5,310.1,1399,50.3,76,0
L,301.2,310.8,1372,57.7,206,1
L,298.4,308.9,1416,47.7,103,0
L,302.2,310.9,1476,48.3,156,0
M,298.9,308.6,1316,59.3,11,0
L,301.7,310.7,1404,51.8,132,0
L,299.8,311.4,1613,31.1,131,0
M,300.5,309.3,1688,25.6,115,0
L,300.1,308.5,1727,26.1,168,0
H,300.8,311.3,1709,26.3,58,0
M,301.8,310.1,1435,48.3,192,0
L,297.4,308.8,1367,47.0,152,0
M,299.0,308.2,1623,35.6,200,0
L,298.8,308.5,1422,47.1,72,0
L,298.3,309.8,1504,42.4,139,0
H,298.0,308.1,1453,44.2,82,0
H,295.9,306.3,1488,38.1,58,0
L,303.2,312.6,1561,35.0,75,0
M,302.4,311.1,1588,33.2,156,0
M,300.1,309.8,1903,23.5,13,0
M,300.6,311.0,1299,61.1,203,1
L,299.2,310.0,1303,50.1,95,0
M,302.1,311.2,1549,34.4,141,0
L,300.3,311.4,1368,47.3,73,0
M,298.7,309.0,1709,26.4,167,0
M,299.7,311.4,1473,39.7,123,0
M,300.6,310.2,1618,35.2,231,0
L,296.8,308.4,1488,43.1,66,0
L,301.2,310.5,1407,50.8,71,0
M,298.7,307.6,1576,36.7,14,0
L,300.7,311.8,1658,31.3,220,0
M,299.7,308.5,1674,29.8,96,0
L,299.0,310.2,1505,46.2,90,0
L,298.1,307.5,1935,20.5,177,0
M,300.2,309.8,1456,40.2,106,0
L,299.8,309.3,1467,32.5,49,0
M,300.8,310.1,1604,35.6,195,0
H,300.0,311.3,1490,43.3,88,0
L,301.4,311.2,1401,50.9,136,0
L,298.1,308.9,1558,35.2,196,0
M,297.6,308.1,1726,31.2,192,0
L,300.7,310.4,1480,41.5,50,0
L,301.0,310.8,1357,46.3,209,0
L,303.3,312.2,1656,33.6,69,0
L,304.6,313.2,1478,43.3,15,0
M,303.5,311.4,1424,39.5,181,0
M,300.8,311.5,1504,38.3,0,0
L,301.2,310.4,1473,46.5,92,0
L,301.2,311.1,1334,45.4,77,0
L,298.3,309.7,1919,22.8,165,0
M,299.1,310.3,1494,36.7,53,0
L,298.8,310.3,1582,34.1,131,0
M,300.8,310.6,1533,37.6,65,0
L,297.2,308.5,1625,32.7,31,0
L,297.5,309.3,1424,46.6,211,0
M,301.0,310.4,1252,57.6,160,0
M,302.7,311.3,2697,10.6,3,1
M,300.6,311.5,1433,49.6,121,0
L,297.9,307.7,1503,46.6,170,0
L,300.3,311.7,1777,26.2,186,0
H,297.6,308.5,1692,33.6,207,0
L,299.6,310.3,1484,41.2,28,0
M,302.1,310.4,1448,49.5,112,0
M,300.1,309.6,1315,65.6,121,1
L,298.1,308.2,1489,48.0,23,0
L,299.8,310.9,2464,15.6,12,0
M,300.9,311.0,1528,41.6,173,0
L,298.1,307.3,1389,50.9,12,0
L,301.7,311.1,1643,33.6,141,0
L,300.6,310.7,1412,47.2,95,0
M,300.1,311.8,1249,59.1,143,0
M,304.1,313.4,2125,19.8,185,0
L,300.4,311.6,1637,32.5,0,0
L,298.9,310.3,1459,41.9,21,0
M,298.4,309.4,1608,34.2,114,0
L,303.8,312.4,1391,47.8,73,0
L,297.4,309.5,1504,45.6,91,0
L,298.0,309.1,1498,46.9,153,0
L,304.4,313.1,1726,27.4,75,0
M,296.3,306.4,1542,42.4,131,0
H,301.5,311.5,1499,35.8,89,0
M,299.0,310.4,1727,23.5,196,0
L,299.9,309.9,1529,28.3,23,0
L,303.4,312.5,1479,46.1,166,0
L,303.0,311.4,1960,24.4,160,0
M,302.3,312.1,1440,42.7,54,0
H,299.0,309.9,1418,41.4,151,0
M,299.3,309.9,1322,57.4,148,0
M,297.7,307.9,1606,31.0,134,0
M,297.0,308.5,1339,57.8,162,0
M,298.7,310.2,1415,50.1,70,0
M,300.0,311.3,1582,35.3,209,0
M,299.8,311.2,1431,49.6,113,0
L,297.6,308.4,1617,34.1,41,0
L,301.2,310.6,1626,29.0,108,0
M,302.2,309.4,1551,37.9,29,0
L,301.1,309.4,1453,43.9,99,0
L,296.6,307.7,1681,28.8,108,0
M,302.0,310.7,1441,51.5,94,0
L,298.6,308.3,1457,42.7,40,0
M,300.9,310.7,1398,47.5,32,0
H,299.1,309.2,1418,47.0,26,0
M,303.3,311.4,1439,39.7,180,0
H,298.4,308.9,1451,50.9,164,0
L,297.2,308.2,1548,35.9,112,0
M,300.0,309.5,1352,51.6,183,0
M,298.3,308.5,1521,42.7,209,0
L,302.1,310.8,1642,29.8,65,0
L,298.6,309.5,1461,41.6,89,1
L,298.3,308.8,1393,45.3,67,0
L,300.4,310.8,1359,49.8,145,0
L,300.0,309.3,1452,52.5,47,0
L,303.0,312.9,1592,34.2,117,0
L,296.9,308.5,1905,21.3,166,0
M,301.1,310.9,1397,45.0,15,0
L,300.5,310.2,1465,46.0,20,0
L,298.3,310.7,1810,26.7,113,0
L,297.4,308.3,1458,48.7,69,0
H,299.8,309.7,1571,39.6,26,0
L,300.2,311.3,1561,30.7,153,0
L,297.6,309.1,1572,36.3,151,0
M,299.3,308.3,1771,27.8,153,0
M,299.0,309.6,1468,54.1,144,0
L,298.5,309.9,1450,43.3,61,0
L,303.8,312.9,1540,35.4,183,0
M,301.2,310.6,1319,49.0,104,0
L,298.0,309.3,1613,34.2,90,0
M,298.5,308.9,1484,40.4,156,0
L,300.2,310.2,1524,40.8,80,0
L,299.7,310.3,1431,50.6,21,0
H,297.6,307.9,1794,31.0,128,0
L,300.3,309.7,1474,49.2,200,0
L,298.1,308.4,1706,29.8,162,0
L,298.9,310.5,1832,24.6,80,0
H,298.3,307.8,1548,30.9,16,0
L,299.5,309.4,1391,53.4,97,0
M,298.2,309.0,1679,38.6,10,0
L,296.7,307.8,1705,30.8,134,0
M,303.3,310.8,1305,54.0,162,1
L,296.2,307.5,1409,46.5,191,0
L,302.6,311.8,1839,24.2,64,0
M,298.6,310.5,1667,31.6,54,0
M,297.3,308.6,1409,46.1,199,0
L,298.7,308.3,1531,33.9,93,0
L,299.5,308.9,1443,47.1,86,0
L,299.0,308.5,1560,33.2,81,0
L,298.3,310.0,1762,26.1,47,0
M,300.4,311.7,1633,30.9,117,0
M,301.1,310.9,2208,17.3,77,0
L,301.5,310.2,1656,29.9,97,0
L,301.8,310.2,1982,17.7,169,0
L,301.2,309.9,1492,46.9,36,0
M,297.7,308.3,1402,45.2,150,0
L,303.8,313.2,1538,44.3,14,0
M,297.4,307.6,1644,32.9,15,0
M,298.9,310.0,1655,30.3,195,0
M,301.4,311.4,1861,25.2,20,0
M,300.0,309.4,1496,41.7,76,0
M,300.6,309.5,1424,47.5,45,0
L,301.6,311.1,1647,29.8,16,0
L,300.9,312.4,1584,37.6,91,0
M,303.4,310.8,1567,37.3,174,0
L,296.6,308.2,1377,50.1,52,0
M,297.0,309.2,1401,43.5,207,0
H,298.4,309.4,1524,36.4,84,0
L,297.4,308.8,1598,37.5,151,0
L,299.4,310.4,1508,43.5,130,0
L,303.1,310.9,1612,36.4,62,0
L,297.5,307.4,1660,37.0,16,0
L,303.4,311.4,1290,47.5,216,1
L,301.1,311.6,1405,50.1,134,0
M,298.2,307.9,1336,54.7,79,0
L,297.6,308.6,2184,16.0,126,0
M,299.8,309.7,1401,50.9,187,0
M,301.5,310.3,1309,57.3,42,0
L,299.5,308.4,1638,31.2,92,0
L,300.7,310.3,1541,38.6,18,0
L,302.5,310.3,1555,37.1,152,0
H,297.6,308.0,1435,40.9,127,0
M,301.8,310.9,1651,32.4,21,0
H,297.9,309.0,1392,46.2,54,0
M,297.7,308.1,1579,32.8,32,0
L,301.0,311.7,1835,24.2,190,0
M,299.6,309.3,1297,48.9,36,0
L,302.9,312.0,1476,50.3,40,0
L,296.5,308.5,1868,24.3,119,0
L,298.4,309.6,1403,44.5,141,0
M,300.2,310.7,1752,27.5,115,0
L,304.0,312.5,1383,53.9,58,0
M,300.3,309.4,1761,24.9,100,0
M,297.5,308.8,1459,45.6,149,0
L,301.4,310.4,1511,42.2,189,0
L,298.0,308.3,1442,51.7,28,0
L,302.3,310.9,1477,46.6,201,0
L,298.0,309.3,1426,46.4,190,0
M,301.2,309.9,1606,30.4,209,1
H,300.9,309.1,1372,48.5,90,1
L,298.2,308.1,1588,35.2,137,0
L,303.4,311.9,1420,47.1,138,0
L,301.9,310.9,1594,33.2,122,0
M,302.4,311.1,1662,30.6,190,0
H,302.3,311.1,1328,49.4,127,0
M,302.0,311.8,1476,39.3,33,0
M,298.6,309.2,1392,50.4,23,0
H,298.7,310.2,1680,30.4,152,0
M,297.0,308.2,1978,19.6,70,0
M,303.3,311.9,1597,34.3,206,0
L,301.7,310.8,1463,45.0,88,0
H,298.6,309.6,1643,34.6,134,0
M,299.5,308.9,1591,34.3,158,0
L,300.8,311.3,1372,56.8,137,0
L,298.1,309.7,1465,37.3,92,0
L,299.1,308.2,1373,47.0,1,0
M,300.7,311.9,1524,40.5,97,0
M,297.7,308.7,1375,41.9,95,0
L,303.2,311.4,1402,50.7,18,0
L,298.6,308.8,1861,21.6,96,0
M,298.8,308.7,1562,38.1,204,0
L,297.2,307.6,1531,38.3,138,0
H,298.4,309.1,1577,38.7,60,0
L,301.3,310.4,1663,33.3,150,0
L,299.2,308.5,1459,35.7,160,0
L,299.5,308.2,1731,25.9,109,0
H,303.4,313.3,1550,43.0,97,0
M,302.4,310.2,1485,41.7,141,0
L,301.6,310.2,1709,28.5,31,0
L,299.0,307.7,1466,52.3,30,0
M,303.3,312.4,1616,34.9,15,0
L,302.0,310.9,1821,27.7,123,0
L,297.4,308.7,1554,41.0,129,0
M,303.8,312.5,1669,31.0,160,0
H,300.1,311.4,1481,43.0,90,0
L,300.1,309.4,1523,36.2,41,0
L,296.3,307.3,1524,37.4,113,0
M,297.6,309.1,1410,44.6,25,0
M,303.5,313.2,1367,48.0,169,0
L,299.0,309.6,1320,47.8,45,0
L,298.7,310.7,1591,31.2,149,0
L,300.1,311.0,1500,39.2,221,0
L,300.4,310.3,1510,36.8,174,0
L,303.9,311.6,1390,54.1,89,0
L,298.1,307.8,1344,54.7,126,0
L,298.1,308.6,1325,53.4,40,0
M,300.9,308.8,1435,47.8,162,0
L,300.8,310.9,1566,31.8,156,0
L,303.0,310.5,1983,19.3,199,0
L,298.1,309.0,1519,36.7,1,0
L,302.8,312.4,1394,46.5,72,0
L,298.3,308.3,1439,46.3,6,0
L,297.3,307.6,1490,36.7,3,0
M,302.0,311.4,1854,24.4,42,0
L,297.3,308.8,1478,39.8,190,0
L,300.8,311.0,2440,14.8,163,0
M,300.6,312.3,1703,29.7,43,0
L,300.1,309.2,1659,33.5,55,0
M,300.5,309.5,1503,40.5,95,0
L,300.1,312.0,1584,29.9,177,0
L,298.6,309.2,1586,35.1,150,0
L,297.8,308.1,1536,42.3,207,0
L,303.2,311.3,1397,57.0,146,0
H,301.1,310.9,2049,18.6,102,0
H,301.3,310.6,1719,27.7,38,0
L,297.1,308.5,1729,27.2,202,0
L,297.8,308.8,1538,39.9,127,0
L,298.5,309.5,1479,45.9,120,0
L,303.3,312.7,1519,32.5,177,0
M,297.7,309.4,1343,57.5,191,0
L,299.9,309.4,1421,52.4,145,0
M,300.6,311.0,1553,38.0,124,0
M,300.9,309.4,1237,51.4,26,1
L,301.9,311.9,1591,33.3,126,0
L,301.2,310.8,1436,55.5,105,0
L,301.2,310.6,1576,36.3,18,0
M,300.1,309.4,1550,41.2,159,0
L,301.2,310.9,1487,35.3,155,0
L,299.3,309.6,1705,32.0,200,0
H,300.4,311.9,1431,43.0,125,0
L,302.2,310.5,1318,54.9,195,1
M,301.7,310.2,1213,60.9,106,1
M,298.7,309.2,1580,29.0,101,0
M,300.9,310.1,1474,49.7,12,0
M,303.3,313.0,1583,48.1,28,0
H,297.3,308.5,1508,47.3,151,0
L,300.8,312.0,1457,37.8,167,0
L,300.0,309.1,2501,13.7,111,0
L,301.2,311.0,1226,66.5,109,0
L,299.1,308.6,1789,35.1,114,0
L,303.0,310.1,1396,41.9,205,0
L,300.6,310.5,2589,13.4,17,0
M,298.6,310.2,1305,53.3,73,0
L,299.5,309.2,1601,37.2,111,0
M,297.0,308.9,1584,37.6,0,0
M,303.1,313.1,1745,28.8,118,0
M,300.2,309.7,1382,42.2,6,0
M,301.7,309.9,2400,12.9,204,1
H,298.0,308.4,1543,42.6,159,0
M,302.9,312.0,1818,24.8,212,0
L,304.2,312.1,1633,37.3,105,0
H,297.1,308.9,1580,35.2,91,0
M,300.7,311.0,1352,52.0,212,0
L,303.5,312.9,1356,51.6,92,0
H,298.1,308.3,1330,49.7,166,0
M,300.7,309.9,1481,43.5,21,0
L,300.7,311.0,1484,42.5,13,0
L,298.6,309.7,1615,39.9,169,0
L,299.2,308.6,1553,39.1,127,0
L,298.8,309.1,1535,38.9,176,0
L,298.3,307.9,1584,31.7,66,0
L,301.7,310.8,1454,47.5,62,0
L,300.6,311.3,1463,41.1,12,0
L,301.0,311.6,1491,38.8,181,0
M,299.9,310.7,1353,49.1,48,0
L,297.2,309.0,1313,58.4,149,0
L,302.8,312.0,1424,36.6,87,0
L,299.8,309.3,1333,47.2,75,0
M,300.8,311.9,1388,51.2,218,0
L,301.6,309.3,1460,41.8,4,0
L,301.1,309.8,1360,54.9,181,0
H,299.2,309.8,1651,31.6,206,0
L,300.1,311.1,1387,54.9,195,0
M,299.3,309.1,1459,43.7,223,0
L,298.4,308.5,1355,48.9,168,0
M,302.3,312.1,1632,36.6,197,1
M,296.9,308.0,1610,34.1,202,0
M,300.4,310.9,1460,45.6,163,0
M,300.8,312.2,1602,31.6,189,0
H,298.4,308.6,1333,51.5,129,0
M,302.3,310.9,1651,31.1,1,0
L,300.8,309.1,1582,35.5,156,0
L,296.8,308.0,1551,39.3,11,0
L,300.3,311.3,1478,38.3,115,0
L,298.3,307.6,1709,29.5,126,0
L,302.0,310.6,1531,35.8,197,0
M,298.0,307.9,1241,55.5,62,0
L,297.2,308.0,1401,36.6,164,0
M,303.3,312.6,1737,28.2,200,0
M,300.3,308.9,1861,25.2,96,0
L,297.1,307.7,1356,61.1,184,1
L,295.9,306.6,1663,27.2,33,0
L,298.5,309.6,1244,68.8,189,1
M,302.3,311.0,1639,35.1,190,0
H,298.8,310.9,1690,26.7,80,0
L,301.5,310.1,1623,29.4,97,0
H,297.7,309.1,1365,54.3,43,0
M,300.9,310.2,1406,48.9,16,0
L,298.8,310.5,1601,35.2,19,0
H,297.4,308.4,1607,34.6,191,0
M,303.7,312.2,1410,47.9,73,0
L,299.8,310.3,1342,46.5,191,0
H,298.3,309.8,1626,29.1,0,0
L,299.8,309.0,1556,35.7,221,0
M,302.5,310.1,1622,39.8,99,0
M,299.3,308.7,1482,44.0,13,0
M,296.7,308.0,1585,41.9,191,0
L,298.5,308.3,1354,56.1,214,1
L,300.5,311.7,1522,38.0,18,0
L,304.6,312.8,1564,39.0,11,0
M,298.1,309.0,1405,46.4,178,0
M,302.5,310.3,1364,52.2,160,1
M,299.1,309.9,1344,53.3,120,0
L,299.0,310.3,1412,48.3,101,0
M,302.2,310.2,1572,37.7,116,0
M,298.4,309.0,1626,26.8,56,0
M,300.4,310.9,1628,34.9,106,0
L,301.4,310.2,1436,51.7,179,0
L,300.0,309.0,1571,35.1,104,0
L,300.4,311.8,1953,19.5,15,0
H,299.3,308.6,1381,52.2,62,0
L,300.4,311.7,1477,40.6,135,0
L,300.1,309.9,1377,62.4,207,1
M,295.6,306.3,1609,36.5,122,0
M,302.6,309.9,1563,33.4,182,0
L,302.7,312.9,1540,38.7,239,0
L,300.3,310.5,1380,50.5,21,0
M,297.1,309.1,1344,40.1,184,0
L,300.5,310.9,1752,25.2,67,0
M,300.6,311.1,1560,36.7,13,0
L,299.3,308.8,1428,38.7,39,0
L,300.0,309.3,1399,44.8,180,0
L,301.2,311.4,1755,28.2,81,0
L,298.9,310.3,1367,44.6,41,0
L,301.0,311.5,1437,37.7,198,0
M,299.2,308.5,1319,49.4,8,0
M,299.9,311.7,1408,52.1,73,0
L,300.4,311.9,1379,50.3,224,1
M,300.8,310.8,1911,23.5,35,0
L,300.8,310.6,1433,46.4,51,0
M,301.4,311.0,1328,64.3,95,0
L,303.2,310.2,1486,40.6,72,0
L,297.8,308.5,1772,27.6,35,0
M,297.2,308.1,1466,43.0,49,0
M,301.6,310.3,1473,42.9,100,0
L,297.2,308.0,1589,36.7,191,0
M,302.2,310.9,1348,42.6,66,0
H,297.0,308.0,1500,53.4,0,0
H,299.1,308.7,1438,54.1,166,0
L,297.4,308.9,1434,44.7,136,0
M,296.5,307.9,1409,36.3,160,0
M,298.1,308.0,1286,52.1,171,0
L,296.4,307.8,1390,46.2,1,0
H,301.3,311.2,1432,47.1,101,0
L,299.1,308.7,1662,31.6,101,0
M,299.1,309.9,1485,48.3,98,0
L,297.0,308.3,1496,42.1,68,0
L,298.7,308.4,1363,55.5,143,0
L,297.1,308.4,1456,39.4,59,0
M,302.2,309.7,1746,29.6,90,0
L,301.7,311.2,1716,28.0,51,0
M,300.4,311.0,1346,56.4,113,0
L,300.3,311.7,1800,23.3,207,0
M,300.8,310.7,1771,24.5,177,0
L,301.3,312.2,1470,34.9,122,0
M,300.5,309.7,1413,39.5,181,0
L,297.7,307.9,1476,39.2,17,0
M,303.9,312.9,1801,28.1,68,0
L,296.8,307.5,1582,36.4,188,0
L,297.0,307.7,1408,43.3,137,0
L,298.9,310.1,1388,48.6,14,0
L,300.0,311.1,1262,60.3,21,0
L,300.0,308.8,1827,26.9,170,0
L,303.8,312.1,1585,33.2,91,0
L,301.6,309.8,1516,39.7,228,0
L,301.9,309.9,1512,43.9,67,0
M,300.3,310.5,1402,47.6,37,0
H,301.9,309.7,1754,25.2,128,0
L,303.4,312.3,1295,72.1,97,1
M,298.2,309.8,1453,43.4,121,0
L,301.6,311.0,1549,31.1,73,0
L,303.5,313.1,1834,24.3,36,0
L,296.3,306.4,1368,48.5,96,0
L,300.0,310.2,1387,56.5,170,0
L,302.9,312.5,1495,37.6,133,0
M,298.8,309.8,1693,27.0,197,0
L,300.8,311.4,1406,42.8,225,0
L,298.1,308.0,1469,37.8,62,0
H,298.5,308.7,1496,36.1,29,0
L,299.4,308.7,1503,35.1,131,0
M,297.4,307.8,1348,72.0,153,1
L,296.6,307.7,1421,47.9,157,0
L,297.8,309.3,1436,50.1,126,0
H,298.3,308.3,1502,39.5,207,1
L,300.5,311.7,1592,31.9,18,0
M,299.0,308.5,1538,37.2,114,0
L,300.8,310.5,1402,46.0,200,0
M,299.3,308.9,1467,40.8,86,0
M,295.5,306.7,1344,50.5,70,0
M,299.1,309.5,2415,11.4,87,1
L,301.0,311.0,1374,51.7,94,0
H,301.5,310.6,1438,48.2,122,0
L,298.6,308.5,1318,63.5,80,0
L,297.8,307.4,1432,45.8,183,0
L,297.6,307.9,1399,53.9,130,0
L,300.5,311.5,1503,46.9,32,0
M,295.6,305.6,1231,75.0,87,1
L,299.9,311.7,1532,39.0,103,0
L,300.4,312.4,1461,45.7,12,0
L,299.0,310.6,1372,50.3,76,0
H,298.6,309.8,1543,36.5,205,0
M,299.3,308.3,2020,20.0,20,0
L,298.2,309.9,1402,42.3,154,0
M,299.3,310.9,1528,40.7,154,0
M,298.9,309.9,1505,37.2,128,0
L,299.6,312.1,1614,31.2,0,0
M,297.3,308.4,1398,48.1,130,0
L,298.4,309.7,1533,45.3,114,0
L,298.7,308.3,1445,50.5,56,0
H,302.5,311.3,1505,38.9,46,0
M,299.9,310.7,1448,46.1,15,0
L,299.1,308.4,1404,49.1,84,0
M,300.7,311.4,1477,41.9,116,0
L,301.0,310.4,1526,40.8,81,0
H,297.7,308.4,1475,37.6,6,0
M,301.5,310.6,1311,59.2,94,0
L,300.2,309.7,1451,45.6,54,0
L,299.8,310.9,1582,47.4,150,0
L,298.0,309.4,1457,39.0,30,0
H,297.2,308.7,1446,46.4,19,0
L,302.0,309.2,2037,20.3,206,0
M,300.5,312.3,1489,53.2,191,0
L,300.7,311.5,1521,38.0,89,0
M,299.9,311.2,1662,32.2,182,0
L,300.9,311.0,1752,26.2,39,0
L,299.7,310.2,2021,20.9,63,0
L,298.8,308.4,1400,60.3,57,0
M,300.7,311.1,1460,44.3,134,0
H,299.2,308.4,1441,42.1,17,0
M,300.0,309.3,1543,38.0,31,0
M,297.3,308.9,1496,37.8,88,0
L,302.4,310.0,1409,46.9,123,0
L,301.7,311.3,1411,46.8,141,0
L,297.9,308.6,2402,13.2,168,1
L,302.5,311.2,1515,37.0,81,0
L,297.7,307.9,1409,41.0,157,0
L,302.4,311.4,1469,38.6,62,0
M,298.8,308.6,1739,29.8,51,0
H,304.5,313.7,1388,49.9,31,0
L,299.4,311.0,1481,46.5,115,0
L,299.3,310.0,1528,35.4,181,0
L,299.8,311.0,1589,35.0,176,0
L,300.7,309.3,1479,34.0,194,0
L,301.8,311.4,2130,18.2,229,0
L,297.9,308.9,1472,42.6,52,0
L,303.0,310.9,1628,32.8,15,0
M,301.5,311.0,1333,60.5,70,0
L,299.0,308.9,1253,58.0,153,0
L,300.6,309.4,1562,37.1,93,0
L,295.9,306.4,1394,51.9,134,0
L,300.7,312.3,1456,42.8,211,0
M,298.1,309.5,1542,42.1,103,0
M,301.0,310.3,1491,39.0,147,0
L,298.2,309.3,1415,44.9,187,0
L,299.0,308.8,1581,33.3,97,0
L,303.1,311.9,1392,52.7,209,1
L,298.8,308.0,1562,40.6,138,0
M,296.3,306.9,1510,33.9,5,0
L,298.4,309.5,1372,44.6,61,0
L,296.2,306.2,1442,34.4,94,0
L,301.1,310.7,1394,43.2,83,0
M,302.7,310.0,2708,11.0,84,1
M,297.6,307.4,1408,42.8,2,0
L,300.2,309.1,1983,23.1,178,0
L,302.0,310.8,1384,47.4,180,0
L,300.6,309.6,1522,40.3,38,0
M,298.4,309.0,1429,51.5,50,0
L,298.0,308.8,1606,30.3,107,0
M,297.7,307.6,1403,48.1,113,0
L,299.4,308.8,1584,40.0,151,0
H,300.7,310.5,1490,41.4,140,0
L,297.3,309.1,1719,29.1,121,0
M,304.4,312.9,1440,55.2,10,0
L,300.4,310.0,1546,40.5,179,0
L,300.8,310.4,1382,46.5,57,0
M,297.7,308.8,2263,16.4,33,0
H,298.2,309.1,1533,38.0,103,0
L,301.6,309.5,1406,36.1,208,0
H,298.4,310.1,1386,63.2,159,1
H,297.9,307.9,1506,38.8,179,0
L,301.7,311.3,1414,42.6,0,0
L,300.9,309.4,1511,42.5,136,0
M,298.4,308.6,1683,25.6,61,0
M,299.8,310.8,1470,43.1,134,0
L,300.8,310.7,1573,36.1,174,0
L,300.1,310.4,1515,47.1,9,0
L,300.1,311.0,1626,33.6,178,0
L,300.5,312.1,1618,32.6,10,0
M,297.8,308.2,1424,44.7,150,0
M,303.8,312.7,2355,16.1,148,0
L,302.4,312.0,1589,36.3,155,0
L,303.6,312.2,1430,43.6,168,0
L,297.5,308.9,1553,40.4,132,0
L,301.7,309.9,1757,31.8,3,0
L,298.3,308.1,1445,44.7,4,0
M,297.6,308.7,1477,48.5,113,0
M,304.0,313.4,1605,33.4,50,0
L,300.8,309.3,1536,39.2,60,0
M,298.7,309.6,1575,37.3,89,0
M,298.5,308.4,1659,31.6,85,0
L,299.5,309.7,1878,23.9,50,0
L,301.8,310.5,1457,39.5,6,0
L,298.5,309.5,1443,45.0,163,0
L,298.6,309.0,1431,51.2,17,0
L,298.2,307.4,1509,39.6,134,0
L,296.9,307.9,1538,40.2,219,0
L,302.2,311.7,1678,28.2,136,0
M,304.0,312.1,1999,23.6,58,0
L,298.0,307.9,1764,29.2,148,0
L,300.5,310.1,1454,50.6,214,0
H,299.2,309.8,1376,61.7,160,0
M,296.9,307.9,2009,18.1,4,0
L,297.8,309.5,1594,36.7,154,0
M,302.5,311.8,1549,31.1,193,0
L,300.7,309.4,1961,22.2,164,0
M,301.0,309.6,1311,44.2,71,0
L,300.3,311.5,1453,54.0,174,0
L,297.8,308.2,1382,48.4,78,0
L,300.4,311.9,1708,28.3,70,0
M,299.8,309.2,1555,36.4,77,0
L,297.3,307.7,1424,39.4,194,0
L,300.3,311.3,1467,37.6,36,0
L,300.8,311.1,1795,25.8,114,0
L,297.4,308.2,1459,36.4,153,0
L,302.0,310.2,1605,30.7,71,0
L,298.6,310.0,1486,41.3,72,0
